GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ArquitecturaSoftware,Persistencia,RegistrosCSV,10,539,3,33,4,113,3,30,0,15
ArquitecturaSoftware,Persistencia,RegistrosSQL,112,381,9,17,19,87,6,22,0,15
ArquitecturaSoftware,Planes,PlanPostPago,0,14,0,0,0,5,0,4,0,4
ArquitecturaSoftware,Planes,PlanPrePago,0,14,0,0,0,5,0,4,0,4
ArquitecturaSoftware,Planes,PlanWow,0,14,0,0,0,5,0,4,0,4
ArquitecturaSoftware,Presentacion,Spark,354,49,2,0,57,13,12,2,11,2
ArquitecturaSoftware,Entidades,Llamada,0,68,0,0,0,14,0,6,0,6
ArquitecturaSoftware,Entidades,LineaTelefonica,0,66,0,0,0,26,0,11,0,11
ArquitecturaSoftware,Entidades,CDR,0,145,0,0,0,42,0,17,0,17
ArquitecturaSoftware,Casosdeuso,CalcularCDRs,0,17,0,0,0,7,0,3,0,3
ArquitecturaSoftware,Casosdeuso,CargarCDRs,0,16,0,0,0,7,0,3,0,3
ArquitecturaSoftware,Casosdeuso,CargarUsuarios,0,16,0,0,0,7,0,3,0,3
ArquitecturaSoftware,Casosdeuso,TarifarCDRs,0,17,0,0,0,7,0,3,0,3
ArquitecturaSoftware,Casosdeuso,MostrarUsuarios,0,15,0,0,0,6,0,3,0,3
ArquitecturaSoftware,Casosdeuso,MostrarCDRs,0,15,0,0,0,6,0,3,0,3
ArquitecturaSoftware,Main,Main,0,11,0,0,0,4,0,3,0,3
ArquitecturaSoftware,Tarifas,TarifaHorarios,0,84,1,7,0,19,1,8,0,5
ArquitecturaSoftware,Tarifas,TarifaNormal,0,9,0,0,0,3,0,2,0,2
ArquitecturaSoftware,Tarifas,TarifaAmigo,0,44,0,4,0,11,0,5,0,3
