GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ArquitecturaSoftware,Persistencia,RegistrosCSV,329,214,23,13,69,47,24,9,10,5
ArquitecturaSoftware,Persistencia,RegistrosSQL,493,0,26,0,106,0,28,0,15,0
ArquitecturaSoftware,Planes,PlanPostPago,9,5,0,0,3,2,2,2,2,2
ArquitecturaSoftware,Planes,PlanPrePago,9,5,0,0,3,2,2,2,2,2
ArquitecturaSoftware,Planes,PlanWow,9,5,0,0,3,2,2,2,2,2
ArquitecturaSoftware,Test,TestMostrarCDRs,15,0,0,0,4,0,2,0,2,0
ArquitecturaSoftware,Test,TestCDR,85,0,0,0,16,0,3,0,3,0
ArquitecturaSoftware,Test,TestCargarUsuarios,15,0,0,0,4,0,2,0,2,0
ArquitecturaSoftware,Test,TestPlanPrePago,14,0,0,0,4,0,2,0,2,0
ArquitecturaSoftware,Test,TestPlanPostPago,14,0,0,0,4,0,2,0,2,0
ArquitecturaSoftware,Test,TestTarifaNormal,270,0,0,0,53,0,7,0,7,0
ArquitecturaSoftware,Test,TestCargarCDRs,15,0,0,0,4,0,2,0,2,0
ArquitecturaSoftware,Test,TestPersistencia,39,0,0,0,11,0,3,0,3,0
ArquitecturaSoftware,Test,TestTarifarCDRs,15,0,0,0,4,0,2,0,2,0
ArquitecturaSoftware,Test,TestCalcularCosto,15,0,0,0,4,0,2,0,2,0
ArquitecturaSoftware,Test,TestPlanWow,14,0,0,0,4,0,2,0,2,0
ArquitecturaSoftware,Test,TestMostrarUsuarios,15,0,0,0,4,0,2,0,2,0
ArquitecturaSoftware,Test,TestTarifaAmigo,529,0,0,0,102,0,12,0,12,0
ArquitecturaSoftware,Test,TestTarifaHorarios,690,0,0,0,143,0,19,0,19,0
ArquitecturaSoftware,Test,TestTelefono,190,0,0,0,41,0,11,0,11,0
ArquitecturaSoftware,Presentacion,Spark,403,0,2,0,70,0,14,0,13,0
ArquitecturaSoftware,Entidades,Llamada,68,0,0,0,14,0,6,0,6,0
ArquitecturaSoftware,Entidades,LineaTelefonica,21,45,0,0,8,18,5,6,5,6
ArquitecturaSoftware,Entidades,CDR,101,44,0,0,27,15,15,2,15,2
ArquitecturaSoftware,Casosdeuso,CalcularCDRs,0,17,0,0,0,7,0,3,0,3
ArquitecturaSoftware,Casosdeuso,CargarCDRs,0,16,0,0,0,7,0,3,0,3
ArquitecturaSoftware,Casosdeuso,CargarUsuarios,0,16,0,0,0,7,0,3,0,3
ArquitecturaSoftware,Casosdeuso,TarifarCDRs,0,17,0,0,0,7,0,3,0,3
ArquitecturaSoftware,Casosdeuso,MostrarUsuarios,0,15,0,0,0,6,0,3,0,3
ArquitecturaSoftware,Casosdeuso,MostrarCDRs,0,15,0,0,0,6,0,3,0,3
ArquitecturaSoftware,Main,Main,11,0,0,0,4,0,3,0,3,0
ArquitecturaSoftware,Tarifas,TarifaHorarios,84,0,8,0,19,0,9,0,5,0
ArquitecturaSoftware,Tarifas,TarifaNormal,9,0,0,0,3,0,2,0,2,0
ArquitecturaSoftware,Tarifas,TarifaAmigo,44,0,4,0,11,0,5,0,3,0
